,AHR,ALX4,AR,ARNT,ARNTL,ASCL2,ATF1,ATF2,ATF3,ATF4,ATF6,ATF6B,ATF7,BACH1,BBX,BHLHE22,BHLHE40,BHLHE41,CEBPA,CEBPB,CEBPD,CEBPG,CLOCK,CREB3,CREB3L2,CREB5,CREBZF,CUX1,DDIT3,DMRTA2,E2F2,EGR1,EGR3,EGR4,EHF,ELF1,ELF3,ELF5,ELK3,ELK4,EMX2,ERF,ERG,ESR1,ETS1,ETS2,ETV1,ETV2,ETV3,ETV5,ETV6,FLI1,FOS,FOSB,FOSL1,FOSL2,FOXA1,FOXC1,FOXC2,FOXE1,FOXF2,FOXJ2,FOXJ3,FOXK1,FOXL2,FOXN3,FOXO1,FOXO3,FOXP1,FOXQ1,GATA3,GLIS3,GRHL1,GRHL2,HBP1,HDX,HES1,HES2,HES4,HES5,HEY1,HIC1,HIVEP1,HIVEP2,HIVEP3,HLF,HNF4G,HOMEZ,HSF1,IKZF2,IRF1,IRF2,IRF5,IRF6,IRF9,IRX1,IRX3,IRX4,IRX5,IRX6,JUN,JUNB,JUND,KLF12,KLF13,KLF2,KLF3,KLF4,KLF5,KLF6,KLF9,LMX1B,LYL1,MAF,MAFB,MAFF,MAFK,MAX,MECOM,MEF2A,MEF2B,MEF2D,MEIS1,MEIS2,MSX1,MSX2,MTF1,MXI1,MYBL1,MYC,MYPOP,NEUROD1,NFAT5,NFATC1,NFATC2,NFATC4,NFE2L1,NFE2L2,NFIA,NFIB,NFIC,NFIL3,NFIX,NFKB1,NKX3-1,NPAS2,NR1D1,NR1D2,NR2C2,NR2F1,NR2F2,NR3C1,NR3C2,NR4A1,NR4A2,NR4A3,OSR2,OTX1,OVOL1,PAX6,PAX9,PBX2,PGR,PITX1,PITX2,PLAGL1,POU3F3,PPARD,PRDM1,PRDM16,PRDM5,PROX1,PRRX1,PRRX2,RARA,RARG,RBPJ,REL,RFX2,RFX3,RFX5,RFX7,RFX8,RORC,RUNX1,RUNX2,RXRA,SIX4,SIX5,SMAD2,SMAD3,SMAD4,SNAI2,SOX15,SOX7,SOX9,SP100,SP3,SP4,SP5,STAT1,STAT2,STAT3,STAT5A,STAT5B,STAT6,TBX19,TBX2,TCF12,TCF4,TCF7,TCF7L1,TCF7L2,TEAD1,TEF,TFAP2A,TFAP2B,TGIF1,TGIF2,THRA,TP63,TP73,TWIST1,TWIST2,VDR,ZBTB14,ZBTB33,ZBTB4,ZBTB47,ZBTB7A,ZBTB7B,ZBTB7C,ZEB1,ZFX,ZKSCAN1,ZNF148,ZNF219,ZNF24,ZNF274,ZNF331,ZNF394,ZNF524,ZNF652,ZNF768,ZNF784
Cj,0.5573770491803279,0.0,0.0,0.0,0.2295081967213114,0.3032786885245901,0.0,0.0,0.959016393442623,0.1721311475409836,0.2622950819672131,0.0,0.0,0.0,0.0,0.0,0.7459016393442623,0.0,0.0,0.2786885245901639,0.3442622950819672,0.0,0.0,0.0,0.1229508196721311,0.1147540983606557,0.4754098360655738,0.5409836065573771,0.0,0.0,0.0,0.8278688524590164,0.7950819672131147,0.0,0.8688524590163935,0.7295081967213115,0.6229508196721312,0.5655737704918034,0.3770491803278689,0.3114754098360656,0.0,0.0,0.0,0.0,0.0,0.7049180327868853,0.0,0.360655737704918,0.1475409836065573,0.4098360655737705,0.5819672131147541,0.0,0.9016393442622952,1.0000000000000002,0.9836065573770492,0.9918032786885246,0.7377049180327869,0.639344262295082,0.0,0.4180327868852459,0.0,0.0,0.0983606557377049,0.0,0.0,0.221311475409836,0.0,0.0,0.1393442622950819,0.9344262295081968,0.2377049180327869,0.0,0.5737704918032787,0.8114754098360656,0.0,0.6639344262295083,0.9672131147540984,0.0901639344262295,0.180327868852459,0.5983606557377049,0.0,0.0,0.5163934426229508,0.7540983606557378,0.319672131147541,0.0,0.0,0.0,0.0,0.680327868852459,0.9098360655737704,0.6557377049180328,0.6885245901639344,0.8852459016393442,0.5491803278688525,0.0,0.0,0.0,0.2049180327868852,0.0,0.4262295081967213,0.0,0.4672131147540984,0.0,0.0,0.3360655737704918,0.7131147540983607,0.5901639344262295,0.7213114754098361,0.7622950819672132,0.1065573770491803,0.0,0.0,0.4426229508196721,0.0,0.918032786885246,0.4344262295081967,0.2950819672131147,0.2868852459016393,0.0,0.0,0.0,0.9426229508196722,0.5081967213114754,0.0,0.0,0.0327868852459016,0.0,0.0,0.6147540983606558,0.1639344262295081,0.0,0.0,0.0,0.0,0.0,0.0,0.819672131147541,0.8606557377049181,0.6311475409836066,0.8934426229508197,0.0,0.4836065573770492,0.7704918032786886,0.6967213114754098,0.0,0.8524590163934427,0.3852459016393442,0.0,0.0,0.3278688524590164,0.4590163934426229,0.0,0.9262295081967212,0.7786885245901639,0.0,0.9508196721311476,0.975409836065574,0.8032786885245902,0.8442622950819673,0.0,0.040983606557377,0.0,0.5327868852459017,0.0,0.0,0.0,0.0,0.0163934426229508,0.0,0.0,0.0,0.0,0.0,0.0,0.6475409836065574,0.0,0.2131147540983606,0.0,0.0,0.0,0.0491803278688524,0.0,0.0,0.4016393442622951,0.3688524590163934,0.0737704918032787,0.0245901639344262,0.0,0.2540983606557377,0.8770491803278689,0.0,0.8360655737704918,0.2459016393442623,0.4508196721311475,0.0,0.0,0.3934426229508196,0.0,0.0,0.3524590163934426,0.0655737704918032,0.1967213114754098,0.0,0.0,0.1311475409836065,0.0,0.0,0.0,0.0,0.0,0.1557377049180328,0.0081967213114754,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5245901639344263,0.0,0.0,0.0,0.0,0.0,0.6065573770491803,0.0,0.0,0.7868852459016393,0.2704918032786885,0.0,0.0,0.0,0.6721311475409837,0.0,0.0,0.4918032786885246,0.0,0.0,0.0,0.0819672131147541,0.0,0.1885245901639344,0.0573770491803278
LE,0.6576576576576576,0.0,0.0,0.0,0.6126126126126126,0.4954954954954954,0.1801801801801802,0.0,0.9189189189189187,0.6216216216216216,0.1441441441441441,0.0,0.0,0.09009009009009,0.0,0.0,0.7117117117117117,0.0,0.0,0.2342342342342342,0.0,0.5675675675675675,0.0,0.0,0.0,0.963963963963964,0.0,0.5495495495495495,0.0,0.5765765765765766,0.0,0.9009009009009008,0.8018018018018018,0.045045045045045,0.7567567567567567,0.6396396396396397,0.2432432432432432,0.0,0.2612612612612612,0.2792792792792792,0.0,0.1711711711711711,0.0,0.0,0.0,0.6486486486486486,0.0,0.3153153153153153,0.1351351351351351,0.5945945945945945,0.3423423423423423,0.0,0.927927927927928,0.990990990990991,1.0,0.9729729729729728,0.8918918918918919,0.4684684684684684,0.3783783783783783,0.027027027027027,0.0,0.0,0.1891891891891892,0.0,0.0,0.0,0.0,0.0,0.0,0.981981981981982,0.0,0.0,0.0990990990990991,0.3513513513513513,0.0,0.0,0.8288288288288288,0.0,0.0,0.0,0.0,0.036036036036036,0.0,0.0,0.0,0.5585585585585585,0.0,0.0,0.063063063063063,0.4594594594594594,0.8468468468468469,0.2702702702702702,0.0,0.8738738738738738,0.0,0.0,0.0,0.0,0.0,0.0,0.8108108108108107,0.5315315315315315,0.3873873873873873,0.0,0.0,0.0,0.7747747747747747,0.6936936936936937,0.6756756756756757,0.7387387387387387,0.0,0.0,0.0,0.5405405405405406,0.0,0.8828828828828829,0.4144144144144144,0.4414414414414414,0.0,0.0,0.0,0.0,0.7027027027027026,0.0,0.0,0.0,0.2162162162162162,0.3243243243243243,0.0,0.8558558558558559,0.0,0.0,0.0,0.3603603603603603,0.2252252252252252,0.0,0.0,0.4864864864864864,0.4054054054054054,0.4324324324324324,0.7207207207207207,0.0,0.0,0.7477477477477478,0.8198198198198198,0.0,0.954954954954955,0.6846846846846847,0.0,0.0,0.1531531531531531,0.6666666666666666,0.0,0.5045045045045045,0.4774774774774774,0.0,0.8378378378378378,0.5855855855855856,0.7657657657657657,0.8648648648648648,0.054054054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009,0.0,0.0,0.0,0.0,0.0,0.7927927927927928,0.0,0.0,0.7297297297297297,0.072072072072072,0.3333333333333333,0.0,0.018018018018018,0.081081081081081,0.9099099099099098,0.0,0.0,0.0,0.0,0.3693693693693693,0.945945945945946,0.0,0.9369369369369368,0.2882882882882883,0.5135135135135135,0.3063063063063063,0.0,0.2972972972972972,0.0,0.0,0.1981981981981982,0.0,0.1621621621621621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1261261261261261,0.0,0.0,0.0,0.4504504504504504,0.0,0.6306306306306306,0.1171171171171171,0.0,0.7837837837837838,0.0,0.0,0.0,0.0,0.0,0.3963963963963964,0.0,0.0,0.6036036036036035,0.2522522522522522,0.0,0.0,0.0,0.0,0.0,0.0,0.5225225225225225,0.4234234234234234,0.0,0.1081081081081081,0.2072072072072072,0.0,0.0,0.0
qSK,0.9047619047619048,0.8174603174603174,0.0,0.0,0.3571428571428571,0.0,0.0,0.3968253968253968,0.8253968253968254,0.1746031746031746,0.2539682539682539,0.0,0.0,0.3412698412698413,0.0,0.0,0.7619047619047619,0.7142857142857143,0.0,0.3888888888888888,0.6984126984126984,0.0,0.1587301587301587,0.0,0.3174603174603174,0.0714285714285714,0.246031746031746,0.3492063492063492,0.0,0.0,0.0,0.8095238095238095,0.5079365079365079,0.0,0.0,0.1111111111111111,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,1.0,0.5873015873015873,0.4047619047619047,0.6111111111111112,0.6190476190476191,0.0317460317460317,0.0,0.7857142857142857,0.4206349206349206,0.9285714285714286,0.8333333333333333,0.753968253968254,0.7301587301587301,0.6349206349206349,0.0,0.8412698412698413,0.0238095238095238,0.0,0.0,0.2142857142857142,0.3571428571428571,0.0,0.0,0.0,0.1666666666666666,0.2222222222222222,0.0,0.0,0.0,0.3015873015873016,0.0,0.0,0.2698412698412699,0.6825396825396826,0.873015873015873,0.0,0.0,0.0,0.0476190476190476,0.0,0.4523809523809523,0.7380952380952381,0.6031746031746031,0.7698412698412698,0.0,0.0,0.0,0.0793650793650793,0.9365079365079364,0.2936507936507936,0.0,0.0,0.0,0.984126984126984,0.6904761904761905,0.0,0.746031746031746,0.0,0.3333333333333333,0.0,0.1904761904761904,0.0555555555555555,0.0,0.7857142857142857,0.0,0.5238095238095238,0.0,0.5158730158730158,0.3095238095238095,0.9603174603174602,0.4603174603174603,0.0,0.0,0.9444444444444444,0.1428571428571428,0.0,0.0,0.4444444444444444,0.0,0.2857142857142857,0.0,0.0,0.0396825396825396,0.0,0.0,0.0,0.1507936507936507,0.5952380952380952,0.0,0.0,0.3253968253968253,0.7936507936507936,0.6507936507936508,0.8968253968253967,0.0,0.9206349206349206,0.8888888888888888,0.8571428571428571,0.9682539682539684,0.1031746031746031,0.7777777777777778,0.4285714285714286,0.5714285714285714,0.5634920634920635,0.0,0.0,0.2301587301587301,0.0,0.0,0.8015873015873016,0.5793650793650793,0.8809523809523809,0.0,0.4920634920634921,0.1349206349206349,0.0,0.0,0.0,0.0,0.0,0.9523809523809524,0.0,0.8492063492063492,0.0,0.7222222222222222,0.0,0.0,0.0,0.4682539682539682,0.0079365079365079,0.6428571428571428,0.0,0.4761904761904761,0.3809523809523809,0.0,0.0,0.0,0.0,0.0,0.0158730158730158,0.0,0.0,0.6746031746031746,0.7063492063492063,0.0,0.0,0.0,0.0,0.5396825396825397,0.0,0.0,0.0,0.0,0.0,0.6587301587301587,0.373015873015873,0.0,0.0634920634920634,0.2063492063492063,0.1984126984126984,0.4841269841269841,0.119047619047619,0.0952380952380952,0.2619047619047618,0.0,0.6666666666666666,0.5476190476190477,0.9126984126984128,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.992063492063492,0.0,0.0,0.0,0.0,0.0,0.9761904761904762,0.5317460317460317,0.0,0.238095238095238,0.3650793650793651,0.1269841269841269,0.4126984126984127,0.626984126984127,0.0,0.5,0.8650793650793651,0.0,0.1825396825396825,0.0873015873015873,0.0,0.4365079365079365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSC-2,0.664,0.0,0.0,0.0,0.352,0.776,0.184,0.448,0.976,0.496,0.368,0.24,0.0,0.0,0.0,0.0,0.536,0.656,0.0,0.288,0.0,0.32,0.0,0.0,0.0,0.744,0.136,0.632,0.0,0.0,0.0,0.872,0.864,0.0,0.752,0.68,0.424,0.0,0.0,0.408,0.0,0.048,0.0,0.008,0.0,0.504,0.0,0.248,0.0,0.488,0.576,0.0,0.944,0.968,1.0,0.928,0.0,0.704,0.0,0.528,0.0,0.04,0.144,0.216,0.0,0.0,0.0,0.0,0.072,0.992,0.0,0.0,0.024,0.8160000000000001,0.0,0.0,0.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.672,0.0,0.648,0.904,0.832,0.0,0.8240000000000001,0.336,0.0,0.0,0.0,0.0,0.0,0.552,0.48,0.384,0.0,0.0,0.328,0.76,0.712,0.64,0.768,0.2,0.0,0.0,0.856,0.264,0.784,0.28,0.304,0.0,0.224,0.0,0.0799999999999999,0.96,0.104,0.0,0.256,0.192,0.0,0.0,0.888,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.848,0.44,0.432,0.56,0.272,0.0,0.608,0.736,0.0,0.88,0.6,0.344,0.0,0.592,0.584,0.0,0.8,0.544,0.0,0.912,0.6880000000000001,0.952,0.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.808,0.0,0.0,0.4,0.0,0.208,0.1679999999999999,0.0,0.0,0.72,0.0,0.392,0.0,0.0,0.416,0.92,0.0,0.984,0.0,0.0,0.312,0.0,0.464,0.0,0.0,0.152,0.0,0.088,0.0,0.0,0.16,0.0,0.0,0.016,0.0,0.296,0.5680000000000001,0.064,0.0,0.128,0.624,0.0,0.696,0.1119999999999999,0.0,0.792,0.36,0.0,0.0,0.0,0.0,0.616,0.0,0.472,0.728,0.52,0.0,0.0,0.0,0.456,0.0,0.056,0.512,0.2319999999999999,0.096,0.032,0.12,0.376,0.0,0.0
CE,0.5564516129032258,0.0,0.0,0.0,0.5483870967741935,0.564516129032258,0.0,0.0,0.9516129032258064,0.4274193548387097,0.1693548387096774,0.0,0.0,0.0,0.1612903225806451,0.0,0.75,0.5403225806451613,0.0,0.2983870967741935,0.0,0.3709677419354839,0.0,0.064516129032258,0.3951612903225806,0.3467741935483871,0.0241935483870967,0.782258064516129,0.0,0.0,0.0161290322580645,0.8548387096774194,0.6048387096774194,0.0,0.8629032258064516,0.7661290322580645,0.7096774193548387,0.0,0.4112903225806451,0.4596774193548387,0.0,0.0,0.0,0.0,0.0,0.6612903225806451,0.0,0.5,0.2177419354838709,0.25,0.5967741935483871,0.0,0.9274193548387096,1.0,0.9919354838709676,0.9838709677419356,0.5887096774193549,0.5806451612903226,0.0,0.0,0.0,0.1048387096774193,0.1209677419354838,0.2258064516129032,0.0,0.4354838709677419,0.0,0.0,0.2338709677419355,0.967741935483871,0.0,0.0,0.0,0.8870967741935484,0.3629032258064516,0.0,0.9596774193548387,0.0,0.1854838709677419,0.6693548387096774,0.0,0.0,0.3225806451612903,0.7338709677419355,0.0,0.532258064516129,0.0,0.0,0.0,0.4516129032258064,0.6129032258064516,0.7419354838709677,0.0,0.8951612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.5161290322580645,0.5080645161290323,0.3548387096774194,0.0,0.0,0.4838709677419355,0.814516129032258,0.7580645161290323,0.7741935483870968,0.8225806451612903,0.0,0.0,0.0,0.8306451612903225,0.6290322580645161,0.717741935483871,0.2661290322580645,0.2096774193548387,0.0,0.1774193548387097,0.0,0.032258064516129,0.935483870967742,0.0,0.0,0.0,0.2419354838709677,0.4032258064516129,0.0,0.6370967741935484,0.1370967741935483,0.0,0.0,0.0,0.0,0.0,0.314516129032258,0.8709677419354839,0.0,0.0,0.0,0.0,0.0,0.6209677419354839,0.6854838709677419,0.0,0.9758064516129032,0.7983870967741935,0.0,0.0,0.2580645161290322,0.5725806451612903,0.0,0.943548387096774,0.8387096774193549,0.0,0.6451612903225806,0.0,0.8467741935483871,0.9112903225806452,0.0,0.2741935483870967,0.0,0.0,0.0,0.0,0.0,0.1129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742,0.8064516129032258,0.0,0.3064516129032258,0.1290322580645161,0.0483870967741935,0.2903225806451613,0.0806451612903225,0.0,0.8790322580645161,0.2016129032258064,0.0,0.4919354838709677,0.0,0.0,0.5241935483870968,0.9193548387096774,0.0,0.9032258064516128,0.282258064516129,0.0,0.3387096774193548,0.0,0.4435483870967742,0.0,0.0,0.7016129032258065,0.3306451612903225,0.1532258064516129,0.0,0.0,0.0,0.0080645161290322,0.0,0.0,0.0,0.0,0.1693548387096774,0.0725806451612903,0.0,0.0,0.4193548387096774,0.0,0.4758064516129032,0.0,0.0,0.6532258064516129,0.0,0.0,0.0,0.0,0.0,0.6935483870967741,0.0,0.3790322580645161,0.7903225806451613,0.4677419354838709,0.0,0.0,0.0887096774193548,0.7258064516129032,0.0,0.0564516129032258,0.6774193548387096,0.0,0.0,0.0,0.0403225806451612,0.3870967741935484,0.1451612903225806,0.0967741935483871
CF,0.9523809523809524,0.0,0.8492063492063492,0.1825396825396825,0.0,0.0,0.0,0.3015873015873016,0.9206349206349206,0.3095238095238095,0.3968253968253968,0.0,0.0,0.3571428571428571,0.0,0.0476190476190476,0.5634920634920635,0.4285714285714286,0.0,0.5873015873015873,0.9682539682539684,0.0,0.0,0.0,0.0,0.8095238095238095,0.2698412698412699,0.4047619047619047,0.4523809523809523,0.0,0.0,0.746031746031746,0.4365079365079365,0.0,0.0,0.119047619047619,0.0,0.0,0.6904761904761905,0.2539682539682539,0.0,0.0,0.7142857142857143,0.0,0.4126984126984127,0.2619047619047618,0.1904761904761904,0.0079365079365079,0.0,0.6111111111111112,0.0,0.7857142857142857,0.8253968253968254,0.6666666666666666,0.7222222222222222,0.5158730158730158,0.0,0.8809523809523809,0.9365079365079364,0.0,0.5952380952380952,0.2222222222222222,0.238095238095238,0.246031746031746,0.7777777777777778,0.0,0.0,0.2142857142857142,0.0396825396825396,0.0952380952380952,0.0,0.5555555555555556,0.0,0.0,0.1428571428571428,0.4603174603174603,0.753968253968254,0.0,0.0,0.0,0.1349206349206349,0.0,0.6507936507936508,0.8888888888888888,0.5396825396825397,0.0,0.0,0.0,0.0,0.0,0.9761904761904762,0.0,0.0,0.0,0.0,0.9126984126984128,0.8571428571428571,0.0,0.8333333333333333,0.0,0.3809523809523809,0.0,0.4761904761904761,0.5079365079365079,0.0,0.7619047619047619,0.0,0.0,0.0,0.4206349206349206,0.2063492063492063,0.5793650793650793,0.0,0.0,0.3888888888888888,1.0,0.1587301587301587,0.0,0.0,0.3253968253968253,0.5476190476190477,0.373015873015873,0.0,0.0,0.4841269841269841,0.0,0.2301587301587301,0.0,0.0,0.873015873015873,0.3174603174603174,0.0238095238095238,0.0,0.3412698412698413,0.0793650793650793,0.984126984126984,0.0,0.8650793650793651,0.8174603174603174,0.9047619047619048,0.992063492063492,0.0,0.7380952380952381,0.6190476190476191,0.0,0.5714285714285714,0.0,0.0,0.1984126984126984,0.7063492063492063,0.8015873015873016,0.8968253968253967,0.0,0.8412698412698413,0.5317460317460317,0.6031746031746031,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.6587301587301587,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7698412698412698,0.4444444444444444,0.0,0.3333333333333333,0.0317460317460317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4682539682539682,0.5238095238095238,0.1111111111111111,0.0158730158730158,0.0714285714285714,0.0555555555555555,0.2777777777777778,0.0634920634920634,0.0,0.0,0.0,0.0,0.0,0.3650793650793651,0.0,0.1269841269841269,0.626984126984127,0.0,0.3492063492063492,0.1507936507936507,0.0,0.5,0.0,0.6428571428571428,0.1666666666666666,0.6825396825396826,0.0,0.0,0.0,0.0,0.0,0.0,0.7301587301587301,0.0,0.0,0.0873015873015873,0.0,0.0,0.9603174603174602,0.0,0.6349206349206349,0.0,0.2936507936507936,0.0,0.6746031746031746,0.6984126984126984,0.1746031746031746,0.0,0.7936507936507936,0.0,0.4920634920634921,0.1031746031746031,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSC-1,0.5255474452554745,0.0,0.2627737226277372,0.0,0.2481751824817518,0.4817518248175182,0.3430656934306569,0.5036496350364963,0.9708029197080292,0.4233576642335766,0.3284671532846715,0.2554744525547445,0.0948905109489051,0.0,0.0,0.0,0.6861313868613138,0.635036496350365,0.1021897810218978,0.4160583941605839,0.6058394160583942,0.0,0.0,0.0291970802919708,0.0,0.875912408759124,0.0,0.4087591240875912,0.0,0.0,0.0,0.8467153284671532,0.8832116788321168,0.0364963503649635,0.6423357664233577,0.5985401459854014,0.2335766423357664,0.0,0.0,0.1313868613138686,0.656934306569343,0.4306569343065693,0.0,0.0,0.0,0.6934306569343066,0.0,0.0145985401459854,0.0,0.3941605839416058,0.6131386861313869,0.0,0.9197080291970804,1.0,0.9854014598540146,0.978102189781022,0.0,0.8540145985401459,0.5328467153284672,0.5474452554744526,0.0,0.1532846715328467,0.145985401459854,0.0218978102189781,0.0,0.2700729927007299,0.0,0.0,0.1751824817518248,0.927007299270073,0.0,0.0,0.0,0.0,0.3211678832116788,0.6204379562043796,0.8686131386861313,0.0,0.0,0.0,0.0,0.0,0.3138686131386861,0.7372262773722628,0.7591240875912408,0.0,0.0,0.0,0.0,0.5401459854014599,0.9051094890510948,0.5547445255474452,0.0,0.8175182481751825,0.0,0.0,0.5766423357664233,0.1386861313868613,0.6496350364963503,0.0583941605839416,0.708029197080292,0.5912408759124087,0.4014598540145985,0.072992700729927,0.0,0.7445255474452555,0.6715328467153284,0.7226277372262774,0.7299270072992701,0.7810218978102189,0.4598540145985401,0.0,0.0,0.3795620437956204,0.0,0.8394160583941606,0.5182481751824818,0.4744525547445255,0.0,0.291970802919708,0.0,0.3576642335766423,0.9124087591240876,0.7153284671532847,0.0,0.0,0.2262773722627737,0.0,0.0,0.8978102189781022,0.2846715328467153,0.0,0.0,0.7737226277372262,0.0072992700729927,0.1167883211678832,0.0,0.8321167883211679,0.8102189781021898,0.9416058394160584,0.9635036496350364,0.0,0.7664233576642335,0.7007299270072993,0.4671532846715328,0.0,0.0,0.0,0.1094890510948905,0.0,0.0,0.5620437956204379,0.0,0.9562043795620436,0.8613138686131386,0.0,0.9927007299270072,0.8905109489051095,0.7956204379562044,0.9343065693430656,0.0,0.0,0.0,0.0,0.0,0.4525547445255474,0.0,0.0,0.0,0.0,0.0,0.0802919708029197,0.0,0.0,0.0,0.6277372262773723,0.2773722627737226,0.0,0.4890510948905109,0.0437956204379562,0.0,0.1240875912408759,0.0,0.0,0.6642335766423357,0.0,0.1824817518248175,0.0,0.0,0.0,0.7883211678832117,0.0,0.8029197080291971,0.218978102189781,0.0,0.4963503649635036,0.6788321167883211,0.3357664233576642,0.2043795620437956,0.0,0.0,0.0510948905109489,0.2116788321167883,0.0,0.0,0.2992700729927007,0.0,0.0,0.1605839416058394,0.3065693430656934,0.1897810218978102,0.1970802919708029,0.0,0.0,0.0,0.0,0.0,0.4452554744525547,0.3722627737226277,0.0656934306569343,0.948905109489051,0.8248175182481752,0.0,0.0,0.0,0.0,0.437956204379562,0.3503649635036496,0.0,0.7518248175182481,0.5693430656934306,0.0,0.0,0.0,0.583941605839416,0.0,0.2408759124087591,0.5109489051094891,0.3868613138686131,0.1678832116788321,0.364963503649635,0.0,0.0,0.0,0.0875912408759124
